Tabela
"🎯 Warstwa (Layer)","🤖 Moduł AI","📋 Funkcjonalność","🔧 Agent/Narzędzie","🔌 Integracje","⚡ Typ działania","🎚️ Poziom autonomii","💰 Business Impact","🚦 Status wdrożenia","📊 ROI Score","⚠️ Guardrails","🎯 Decyzje autonomiczne"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Compliance","Compliance Agent","Legal rules/Regulations","Proactive","3","Wysoki","🔵 Planned","8/10","Tak","Zgodność z regulacjami"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Image Enhancement","Image Enhancement Agent","Computer Vision/DAM","Autonomous","4","Średni","🔵 Planned","7/10","Nie","Optymalizacja zdjęć"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Competitor Monitoring","Competitor Monitoring Agent","Web scraping/Price aggregators","Proactive","5","Krytyczny","🟢 Live","10/10","Nie","Monitoring 24/7"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Margin Protection","Margin Protection Agent","ERP/Cost data/Rules engine","Autonomous","5","Krytyczny","🟢 Live","10/10","Tak","Ochrona minimalnej marży 15%"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Dynamic Pricing","Dynamic Pricing Agent","ML models/Demand elasticity","Autonomous","4","Krytyczny","🟡 Pilot","10/10","Tak","Zmiany cen w zakresie ±10%"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Promotion","Promotion Agent","Sales data/Inventory levels","Proactive","4","Wysoki","🟢 Live","9/10","Tak","Promocje do 20% rabatu"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Profitability","Profitability Agent","Full cost analysis/Margin tracking","Predictive","4","Krytyczny","🟢 Live","10/10","Nie","Analiza rentowności"
"💰 WARSTWA E: PRICING & MARGIN","Pricing Engine","Market Positioning","Market Positioning Agent","Competitive intelligence","Predictive","3","Wysoki","🔵 Planned","8/10","Tak","Strategia pozycjonowania cenowego"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Replenishment","Replenishment Agent","Demand forecast/Stock levels","Autonomous","5","Krytyczny","🟢 Live","10/10","Tak","Zamówienia do 100k PLN"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Supplier Comparison","Supplier Comparison Agent","Price/Quality/Delivery time","Autonomous","4","Wysoki","🟢 Live","9/10","Nie","Ranking dostawców"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Purchase Order","Purchase Order Agent","ERP/Supplier APIs/Email","Autonomous","5","Krytyczny","🟢 Live","10/10","Tak","PO do zatwierdzonych dostawców"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Delay Prediction","Delay Prediction Agent","ML/Historical data/External signals","Predictive","4","Wysoki","🟡 Pilot","9/10","Nie","Prognoza opóźnień dostaw"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Supplier Risk","Supplier Risk Agent","Financial data/News/Performance","Predictive","4","Wysoki","🟡 Pilot","9/10","Tak","Alert przy ryzyku >70%"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Contract Negotiation","Contract Negotiation Agent","Historical terms/Market data","Proactive","3","Średni","🔵 Planned","7/10","Tak","Sugestie warunków umów"
"🛒 WARSTWA F: PROCUREMENT","Procurement","Quality Control","Quality Control Agent","Returns/Complaints/Ratings","Reactive","3","Wysoki","🟢 Live","8/10","Nie","Monitoring jakości dostaw"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Stock Health","Stock Health Agent","WMS/Real-time inventory","Proactive","4","Krytyczny","🟢 Live","10/10","Nie","Monitoring stanów 24/7"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Overstock/Understock","Overstock/Understock Agent","Demand forecast/ABC analysis","Predictive","5","Krytyczny","🟢 Live","10/10","Nie","Alerty i rekomendacje"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Picking Optimization","Picking Optimization Agent","WMS/Route optimization","Autonomous","4","Wysoki","🟡 Pilot","8/10","Nie","Optymalizacja kompletacji"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Inventory Audit","Inventory Audit Agent","IoT/RFID/Cycle counting","Autonomous","4","Wysoki","🟡 Pilot","9/10","Nie","Ciągła inwentaryzacja"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Shrinkage Detection","Shrinkage Detection Agent","Anomaly detection/Pattern analysis","Predictive","4","Wysoki","🔵 Planned","9/10","Tak","Wykrywanie braków >5%"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Location Optimization","Location Optimization Agent","WMS/Movement patterns","Autonomous","4","Średni","🔵 Planned","7/10","Nie","Optymalizacja lokalizacji"
"🏭 WARSTWA G: WAREHOUSE","Warehouse","Returns Processing","Returns Processing Agent","WMS/Quality check/Disposition","Autonomous","4","Wysoki","🟢 Live","8/10","Nie","Automatyczna dyspozycja zwrotów"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Order Validation","Order Validation Agent","Business rules/Fraud detection","Autonomous","5","Krytyczny","🟢 Live","10/10","Tak","Blokada podejrzanych >20k PLN"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Allocation","Allocation Agent","Multi-warehouse/Availability","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Inteligentna alokacja"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Fulfillment","Fulfillment Agent","WMS/Logistics/Picking","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Orkiestracja realizacji"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Exception Handling","Exception Handling Agent","Rules engine/Escalation","Autonomous","4","Wysoki","🟢 Live","9/10","Tak","Eskalacja wyjątków >10k PLN"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Customer Status","Customer Status Agent","Email/SMS/Portal updates","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Automatyczne statusy"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Split Order","Split Order Agent","Availability/Customer preference","Autonomous","4","Wysoki","🟢 Live","8/10","Tak","Podział zamówień >5 pozycji"
"📋 WARSTWA H: ORDER ORCHESTRATION","Order Orchestration","Backorder Management","Backorder Management Agent","ETA/Customer communication","Proactive","4","Wysoki","🟡 Pilot","8/10","Nie","Zarządzanie backorderami"
"🚚 WARSTWA I: LOGISTICS","Logistics","Carrier Selection","Carrier Selection Agent","Cost/Speed/Reliability/SLA","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Wybór kuriera według reguł"
"🚚 WARSTWA I: LOGISTICS","Logistics","Delay Monitoring","Delay Monitoring Agent","Tracking APIs/ML prediction","Predictive","5","Wysoki","🟢 Live","9/10","Nie","Real-time monitoring"
"🚚 WARSTWA I: LOGISTICS","Logistics","Freight Cost","Freight Cost Agent","Rate shopping/Contract rates","Autonomous","4","Wysoki","🟢 Live","9/10","Nie","Optymalizacja kosztów"
"🚚 WARSTWA I: LOGISTICS","Logistics","Delivery Issue","Delivery Issue Agent","Exception handling/Communication","Reactive","4","Wysoki","🟢 Live","9/10","Nie","Obsługa problemów"
"🚚 WARSTWA I: LOGISTICS","Logistics","Route Optimization","Route Optimization Agent","GPS/Traffic/Multi-drop","Autonomous","4","Średni","🔵 Planned","8/10","Nie","Optymalizacja tras"
"🚚 WARSTWA I: LOGISTICS","Logistics","Returns Logistics","Returns Logistics Agent","Reverse logistics/Labels","Autonomous","4","Wysoki","🟡 Pilot","8/10","Nie","Obsługa zwrotów"
"🚚 WARSTWA I: LOGISTICS","Logistics","Proof of Delivery","Proof of Delivery Agent","POD capture/Validation","Reactive","3","Średni","🟢 Live","7/10","Nie","Potwierdzenia dostaw"
"💵 WARSTWA J: FINANCE","Finance","Receivables","Receivables Agent","Invoices/Payment tracking/Reminders","Autonomous","5","Krytyczny","🟢 Live","10/10","Tak","Windykacja miękka 3 przypomnienia"
"💵 WARSTWA J: FINANCE","Finance","Payables","Payables Agent","Invoice matching/Payment scheduling","Autonomous","4","Krytyczny","🟢 Live","9/10","Tak","Płatności do 50k PLN"
"💵 WARSTWA J: FINANCE","Finance","Cashflow Forecast","Cashflow Forecast Agent","ML models/Historical patterns","Predictive","5","Krytyczny","🟢 Live","10/10","Nie","Prognoza 90 dni"
"💵 WARSTWA J: FINANCE","Finance","Margin Analytics","Margin Analytics Agent","Full P&L/Product/Customer/Channel","Predictive","4","Krytyczny","🟢 Live","10/10","Nie","Real-time margin tracking"
"💵 WARSTWA J: FINANCE","Finance","Fraud Detection","Fraud Detection Agent","Anomaly detection/Pattern analysis","Predictive","5","Krytyczny","🟢 Live","10/10","Tak","Blokada podejrzanych transakcji"
"💵 WARSTWA J: FINANCE","Finance","Credit Limit","Credit Limit Agent","Credit scoring/Payment history","Autonomous","4","Wysoki","🟢 Live","9/10","Tak","Limity do 100k PLN"
"💵 WARSTWA J: FINANCE","Finance","Reconciliation","Reconciliation Agent","Bank/ERP/Accounting matching","Autonomous","4","Wysoki","🟡 Pilot","9/10","Nie","Auto-uzgodnienia"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Support Triage","Support Triage Agent","NLP/Urgency detection/Routing","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Priorytetyzacja zgłoszeń"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Customer Emotion","Customer Emotion Agent","Sentiment analysis/Tone detection","Reactive","4","Wysoki","🟢 Live","9/10","Tak","Eskalacja negatywnych"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Churn Risk","Churn Risk Agent","ML models/Behavioral signals","Predictive","5","Krytyczny","🟡 Pilot","10/10","Tak","Alert przy ryzyku >60%"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Return/Complaint","Return/Complaint Agent","RMA/Resolution workflows","Autonomous","4","Wysoki","🟢 Live","9/10","Tak","Zwroty do 5k PLN bez akceptacji"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Resolution","Resolution Agent","Knowledge base/Auto-responses","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Odpowiedzi na FAQ"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Satisfaction","Satisfaction Agent","NPS/CSAT/Surveys","Proactive","4","Średni","🟢 Live","8/10","Nie","Automatyczne ankiety"
"👥 WARSTWA K: CUSTOMER SUCCESS","Customer Success","Retention","Retention Agent","Offers/Loyalty programs","Proactive","4","Wysoki","🟡 Pilot","9/10","Tak","Oferty retencyjne do 10% rabatu"
"📣 WARSTWA L: MARKETING","Marketing","Campaign","Campaign Agent","Audience/Creative/Budget/Schedule","Autonomous","4","Wysoki","🟡 Pilot","9/10","Tak","Kampanie do 10k PLN/mies"
"📣 WARSTWA L: MARKETING","Marketing","Content","Content Agent","GPT-4/Brand voice/SEO","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Content production"
"📣 WARSTWA L: MARKETING","Marketing","Audience","Audience Agent","Segmentation/Lookalike/Retargeting","Autonomous","5","Wysoki","🟢 Live","10/10","Nie","Inteligentne segmenty"
"📣 WARSTWA L: MARKETING","Marketing","Performance","Performance Agent","ROI/ROAS/Attribution/Optimization","Predictive","5","Krytyczny","🟢 Live","10/10","Tak","Auto-optymalizacja budżetu"
"📣 WARSTWA L: MARKETING","Marketing","SEO","SEO Agent","Keywords/Content/Technical/Backlinks","Proactive","4","Wysoki","🟡 Pilot","9/10","Nie","SEO recommendations"
"📣 WARSTWA L: MARKETING","Marketing","Marketplace Content","Marketplace Content Agent","Product titles/Bullets/A+ content","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Optymalizacja listingów"
"📣 WARSTWA L: MARKETING","Marketing","Email Automation","Email Automation Agent","Flows/Personalization/Timing","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Automated email journeys"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","Onboarding","Onboarding Agent","Training/Documentation/Tasks","Autonomous","4","Średni","🟡 Pilot","8/10","Nie","Automatyczny onboarding"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","SOP Coach","SOP Coach Agent","Procedures/Best practices/Q&A","Reactive","4","Średni","🟡 Pilot","8/10","Nie","Internal knowledge assistant"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","Workload","Workload Agent","Task distribution/Capacity planning","Proactive","4","Wysoki","🔵 Planned","8/10","Nie","Równoważenie obciążenia"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","Internal Helpdesk","Internal Helpdesk Agent","IT/HR/Admin support","Reactive","4","Średni","🟡 Pilot","7/10","Nie","L1 support automation"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","Performance Tracking","Performance Tracking Agent","KPIs/Goals/Feedback","Proactive","3","Średni","🔵 Planned","7/10","Tak","Performance insights"
"👨‍💼 WARSTWA M: HR & INTERNAL","HR","Skills Gap","Skills Gap Agent","Training needs/Development plans","Predictive","3","Średni","🟣 Concept","7/10","Tak","Rekomendacje szkoleń"
"🏢 WARSTWA N: EXECUTIVE","Executive","CEO Briefing","CEO Briefing Agent","Daily summary/Priorities/Alerts","Proactive","5","Krytyczny","🟢 Live","10/10","Nie","Codzienny brief 7:00"
"🏢 WARSTWA N: EXECUTIVE","Executive","KPI","KPI Agent","Real-time metrics/Dashboards","Reactive","5","Krytyczny","🟢 Live","10/10","Nie","Live KPI tracking"
"🏢 WARSTWA N: EXECUTIVE","Executive","Strategic Risk","Strategic Risk Agent","Market/Financial/Operational risks","Predictive","4","Krytyczny","🟡 Pilot","10/10","Tak","Critical risk alerts"
"🏢 WARSTWA N: EXECUTIVE","Executive","Opportunity Discovery","Opportunity Discovery Agent","Market gaps/Trends/New segments","Predictive","4","Wysoki","🟡 Pilot","9/10","Tak","Strategic opportunities"
"🏢 WARSTWA N: EXECUTIVE","Executive","Board Report","Board Report Agent","Monthly/Quarterly reports","Proactive","4","","","","",""
